Source Site Type,Target Site Type,Relationship Role,Source Site Name (Italian),Source Site Name (English),Source Modern Municipality,Source Modern Province,Source Historical Region,Source Site Dedication Subject(s),Source Monastic Affiliation,Target Site Name (Italian),Target Site Name (English),Target Modern Municipality,Target Modern Province,Target Historical Region,Target Site Dedication Subject(s)
Monasteries,Monasteries,Dependent or Possession of,Sant'Anna di Gala,Saint Anne of Gala,Barcellona Pozzo di Gotto,Messina,Val Demone,Saint Anne,Benedictines,Santa Maria delle Valle di Giosafat,Saint Mary in the Valley of Jehosaphat,,,,the Virgin Mary
Monasteries,Monasteries,Dependent or Possession of,Santa Maria di Giosafat,Saint Mary of Jehosaphat,Paternò,Catania,Val Demone,the Virgin Mary,Benedictines,Santa Maria delle Valle di Giosafat,Saint Mary in the Valley of Jehosaphat,,,,the Virgin Mary
Monasteries,Monasteries,Dependent or Possession of,Santa Maria Maddalena di Giosafat,Saint Mary Magdalene of Jehosaphat,Messina,Messina,Val Demone,Saint Mary Magdalene,Benedictines,Santa Maria delle Valle di Giosafat,Saint Mary in the Valley of Jehosaphat,,,,the Virgin Mary
Monasteries,Monasteries,Dependent or Possession of,Santa Maria di Calatahameth,Saint Mary of Calatahameth,Castellammare del Golfo,Trapani,Val di Mazara,the Virgin Mary,Benedictines,Santa Maria delle Valle di Giosafat,Saint Mary in the Valley of Jehosaphat,,,,the Virgin Mary
Monasteries,Monasteries,Dependent or Possession of,San Filippo d'Agira,Saint Philip of Agira,Agira,Enna,Val di Noto,Saint Philip the Apostle,Benedictines,Santa Maria dei Latini,Saint Mary of the Latins,,,,the Virgin Mary
Monasteries,Monasteries,Dependent or Possession of,Santa Maria Latina di Polizzi,Saint Mary of the Latins of Polizzi,Polizzi Generosa,Palermo,Val di Mazara,the Virgin Mary,Benedictines,Santa Maria dei Latini,Saint Mary of the Latins,,,,the Virgin Mary
Monasteries,Monasteries,Dependent or Possession of,San Filippo di Capizzi,Saint Philip of Capizzi,Capizzi,Messina,Val Demone,Saint Philip the Apostle,Benedictines,Santa Maria dei Latini,Saint Mary of the Latins,,,,the Virgin Mary
Monasteries,Monasteries,Dependent or Possession of,Santa Croce di Rasacambri,Holy Cross of Rasacambri,Ragusa,Ragusa,Val di Noto,the Holy Cross,Benedictines,Santa Maria dei Latini,Saint Mary of the Latins,,,,the Virgin Mary
Monasteries,Monasteries,Dependent or Possession of,Santa Maria dei Latini,Saint Mary of the Latins,Messina,Messina,Val Demone,the Virgin Mary,Benedictines,Santa Maria dei Latini,Saint Mary of the Latins,,,,the Virgin Mary
Monasteries,Monasteries,Dependent or Possession of,Santo Spirito a Caltanissetta,Holy Spirit at Caltanissetta,Caltanissetta,Caltanissetta,Val di Mazara,the Holy Spirit,Augustinian Canons,Madonna di Monte Sion,Our Lady of Mount Sion,,,,the Virgin Mary
Monasteries,Monasteries,Dependent or Possession of,Santa Maria di Baratathe,Saint Mary of Baratathe,Randazzo?,Catania?,Val Demone?,the Virgin Mary,Augustinian Canons,Madonna di Monte Sion,Our Lady of Mount Sion,,,,the Virgin Mary
Monasteries,Monasteries,Dependent or Possession of,Santa Maria di Monte Sion,Saint Mary of Mount Sion,Messina,Messina,Val Demone,the Virgin Mary,Augustinian Canons,Madonna di Monte Sion,Our Lady of Mount Sion,,,,the Virgin Mary
Monasteries,Monasteries,Dependent or Possession of,Sant'Anna di Fesime,Saint Anne of Fesime,Aidone?,Enna?,Val di Noto?,Saint Anne,Augustinian Canons,Madonna di Monte Sion,Our Lady of Mount Sion,,,,the Virgin Mary
Monasteries,Monasteries,Dependent or Possession of,Sconosciuto,Unknown,Scordia,Catania,Val di Noto,,Poor Knights of Christ and of the Temple of Solomon (Templars),Il Tempio di Salomone,Temple of Solomon,,,,
Monasteries,Monasteries,Dependent or Possession of,L'Ospedale di San Giovanni di Gerusalemme,Hospital of Saint John of Jerusalem,Messina,Messina,Val Demone,Saint John the Baptist,Hospitallers of Saint John of Jerusalem,Ospitale di San Giovanni di Gerusalemme,Hospital of Saint John of Jerusalem,,,,Saint John the Baptist
Monasteries,Monasteries,Dependent or Possession of,L'Ospedale di Tutti i Santi di Palermo,Hospital of All Saints of Palermo,Palermo,Palermo,Val di Mazara,All Saints,Hospitallers of Saint John of Jerusalem,Ospitale di San Giovanni di Gerusalemme,Hospital of Saint John of Jerusalem,,,,Saint John the Baptist
Monasteries,Monasteries,Dependent or Possession of,Santa Caterina,Saint Catherine,Santa Margherita di Belice,Agrigento,Val di Mazara,Saint Catherine,Knights of the Hospital of Saint Lazarus of Jerusalem (Lazarites),Ospitale di San Lazzaro di Gerusalemme,Hospital of Saint Lazarus of Jerusalem,,,,Saint Lazarus
Monasteries,Monasteries,Dependent or Possession of,Sant'Angelo di Val Demone,Saint Michael the Archangel of the Val Demone,,,Val Demone,Saint Michael the Archangel,,Santissima Trinità di San Michele Arcangelo di Mileto,Holy Trinity and Saint Michael the Archangel of Mileto,,,,Saint Michael the Archangel then the Holy Trinity
Monasteries,Monasteries,Dependent or Possession of,Sant'Anastasia di Gratteri,Saint Anastasia of Gratteri,Castelbuono,Palermo,Val Demone,Saint Anastasia,,Santissima Trinità di San Michele Arcangelo di Mileto,Holy Trinity and Saint Michael the Archangel of Mileto,,,,Saint Michael the Archangel then the Holy Trinity
Monasteries,Monasteries,Dependent or Possession of,Santissimo Salvatore di Cerami,Christ the Savior of Cerami,Cerami,Enna,Val Demone,Christ,Benedictines,Santa Maria di Licodia,Saint Mary of Licodia,Santa Maria di Licodia,Catania,Val Demone,the Virgin Mary
Monasteries,Monasteries,Dependent or Possession of,San Nicola di Val Demone,Saint Nicholas of the Val Demone,,,Val Demone,Saint Nicholas,,Santissima Trinità di San Michele Arcangelo di Mileto,Holy Trinity and Saint Michael the Archangel of Mileto,,,,Saint Michael the Archangel then the Holy Trinity
Monasteries,Monasteries,Dependent or Possession of,San Filippo di Pantano,Saint Philip of Pantano,Paternò,Catania,Val Demone,Saint Philip the Apostle,Benedictines,Santa Maria di Licodia,Saint Mary of Licodia,Santa Maria di Licodia,Catania,Val Demone,the Virgin Mary
Monasteries,Churches,Dependent or Possession of,Madonna di Monte Sion,Our Lady of Mount Sion,,,,the Virgin Mary,Augustinian Canons,La Santa Sede,The Holy See,Vatican City,,,Saint Peter
